Time,Date,Download,Upload
17:30,20200501,96.50,56.07
18:30,20200501,104.85,55.60
19:30,20200501,100.40,56.73
20:30,20200501,92.96,55.35
21:30,20200501,100.91,56.74
22:30,20200501,92.14,56.56
23:30,20200501,107.89,56.73
00:30,20200502,104.54,56.69
01:30,20200502,112.42,55.87
02:30,20200502,112.67,56.74
03:30,20200502,115.00,56.70
04:30,20200502,123.07,56.72
05:30,20200502,124.66,56.59
06:30,20200502,123.81,56.19
07:30,20200502,116.93,56.70
08:30,20200502,118.04,56.69
09:30,20200502,116.46,56.74
10:30,20200502,103.99,56.62
11:30,20200502,97.20,55.81
12:30,20200502,100.45,56.16
13:30,20200502,103.85,56.72
14:30,20200502,93.79,56.23
15:30,20200502,78.34,56.52
16:30,20200502,96.01,56.37
17:30,20200502,83.84,56.27
18:30,20200502,81.23,53.72
19:30,20200502,88.45,56.68
20:30,20200502,98.62,42.16
21:30,20200502,83.46,52.51
22:30,20200502,98.78,56.80
23:30,20200502,112.54,56.34
00:30,20200503,107.63,56.70
01:30,20200503,108.94,56.84
02:30,20200503,102.39,56.69
03:30,20200503,117.30,56.70
04:30,20200503,116.63,56.57
05:30,20200503,119.73,56.69
06:30,20200503,115.47,56.67
07:30,20200503,123.50,56.71
08:30,20200503,116.31,56.70
09:30,20200503,116.58,56.67
10:30,20200503,76.56,56.66
11:30,20200503,111.25,56.67
12:30,20200503,109.77,55.98
13:30,20200503,99.99,56.74
14:30,20200503,97.53,55.08
15:30,20200503,88.18,56.36
16:30,20200503,89.35,56.67
17:30,20200503,96.65,56.73
18:30,20200503,91.55,54.80
19:30,20200503,80.78,56.73
20:30,20200503,78.45,54.73
21:30,20200503,88.81,56.69
22:30,20200503,94.45,56.74
23:30,20200503,100.01,56.22
00:30,20200504,102.14,55.94
01:30,20200504,107.14,56.72
02:30,20200504,111.47,56.72
03:30,20200504,117.11,56.71
04:30,20200504,114.58,56.66
05:30,20200504,118.51,56.72
06:30,20200504,115.78,56.74
07:30,20200504,113.78,56.71
08:30,20200504,116.84,56.75
